DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,P_MINUS_PET,TMEAN,TMX,TMN,DTR,VPD,RH,VAP_KPA,CROP
Dadu,2011.0,82.39,21.73,3.79,6669.400056838989,210.1000289916992,96.9,50.5,46.4,32.3125,40.175,24.5,15.675001,0.0,100.0,23.0375,RICE
Dadu,2012.0,170.22,41.06,4.15,6551.500303268433,205.47501182556152,56.1,50.300003,5.799999,31.825,39.6875,24.0125,15.675,0.0,100.0,22.8125,RICE
Dadu,2013.0,156.44,44.3,3.53,6639.600175857544,214.0,97.100006,50.7,46.399998,32.1875,40.050003,24.375,15.675001,0.0,100.0,23.112501,RICE
Dadu,2014.0,142.27,43.67,3.26,6629.600141525269,214.0,32.2,51.0,-18.800001,32.15,40.0125,24.3375,15.675,0.0,100.0,22.875,RICE
Dadu,2015.0,179.93,49.62,3.63,6590.000162124634,214.0,92.0,50.4,41.600002,31.987501,39.850002,24.175001,15.675001,0.0,100.0,22.7125,RICE
Dadu,2016.0,191.0,48.74,3.92,6712.700103759766,214.0,56.9,51.2,5.700001,32.4875,40.350002,24.675001,15.675,0.0,100.0,23.050001,RICE
Dadu,2017.0,192.82,50.3,3.83,6712.400220870972,214.0,70.8,51.0,19.800003,32.4875,40.350002,24.675001,15.675,0.0,100.0,23.15,RICE
Dadu,2018.0,160.55,38.18,4.21,6695.900163650513,210.90001773834229,26.199999,51.0,-24.8,32.425,40.2875,24.612501,15.675,0.0,100.0,23.2625,RICE
Dadu,2019.0,204.89,50.3,4.07,6622.500175476074,211.6750059127808,109.5,50.800003,58.7,32.125,39.9875,24.3125,15.674999,0.0,100.0,23.0875,RICE
Dadu,2020.0,170.11,46.2,3.68,6538.600080490112,201.60001182556152,181.9,50.5,131.40001,31.775,39.6375,23.9625,15.675001,0.0,100.0,22.875,RICE
Dadu,2021.0,170.39,42.67,3.99,6620.200048446655,209.35001182556152,66.6,50.9,15.700002,32.1125,39.975002,24.300001,15.675,0.0,100.0,23.175,RICE
Dadu,2022.0,66.33,22.27,2.98,6672.200197219849,212.44999408721924,352.4,50.800003,301.6,32.3375,40.2,24.525,15.675,0.0,100.0,23.0375,RICE
Dadu,2023.0,191.37,48.85,3.92,6598.600082397461,214.0,156.2,50.4,105.799995,32.025,39.8875,24.2125,15.675001,0.0,100.0,23.075,RICE
